region,country,latitude,longitude
Australia,AU,-25.274398,133.775136
Austria,AT,47.516231,14.550072
Belgium,BE,50.503887,4.469936
Canada,CA,56.130366,-106.346771
Denmark,DK,56.26392,9.501785
France,FR,46.227638,2.213749
Germany,DE,51.165691,10.451526
Hong Kong,HK,22.396428,114.109497
Ireland,IE,53.41291,-8.24389
Italy,IT,41.87194,12.56738
Japan,JP,36.204824,138.252924
Luxembourg,LU,49.815273,6.129583
Mexico,MX,23.634501,-102.552784
Netherlands,NL,52.132633,5.291266
New Zealand,NZ,-40.900557,174.885971
Norway,NO,60.472024,8.468946
Singapore,SG,1.352083,103.819836
Sweden,SE,60.128161,18.643501
United Kingdom,GB,55.378051,-3.435973
United States,US,37.09024,-95.712891
Spain,ES,40.416775,-3.70379
China,CH,39.9042,116.4074
